agent_name,branch,iata_no,dipc,institution,inv_type,status
THOMAS COOK VOYAGES,PARSM,20232671,IP,BSP,P,A
PLEIN CIEL,PARSM,20223733,IP,BSP,P,A
HABIB,PARSM,20239822,IP,BSP,P,A
ITOUCH GREAT INTL TRAVEL,NYCSM,22530594,IP,ARC,P,A
REISEBURO WILHELMPASSAGE,FRASM,23207026,IP,BSP,P,A
SSB REISEN GMBH &,FRASM,23219092,IP,BSP,P,A
CWL CWL,PARSM,20245315,IP,BSP,P,A
GENOVESE WORLD TRAVEL,NYCSM,22666615,IP,ARC,P,A
AMTLICHES BAYERISCHES REISEBURO,FRASM,23205932,IP,BSP,P,A
VOGTLAND REISEN GMBH,FRASM,23211204,IP,BSP,P,A
REISEBURO HEIDMARIE TECHET,FRASM,23211156,IP,BSP,P,A
TRAVEL CONSULTANTS INTL,NYCSM,22561173,IP,ARC,P,A
FLBA REISEBUERO,FRASM,23218086,IP,BSP,P,A
PANALPINA TRANSPORTS INTERNATIONAUX,PARSM,20470573314,IC,CASS,G,A
FREISEBUERO HARTMANN COLOGNE,FRASM,23213470,IP,BSP,P,A
SMITHSONIAN ASTROPHYSICAL,NYCSM,22592544,IP,ARC,P,A
PRESIDENTIAL TRAVEL,NYCSM,22974652,IP,ARC,P,A
AIRSERVICE REISEBURO GMBH,FRASM,23205081,IP,BSP,P,A
WELTWEIT FLUG SIEGEN,FRASM,23208080,IP,BSP,P,A
FAR EAST TVL SERVICE,NYCSM,22647811,IP,ARC,P,A
FRESH POND TVL SUDBURY,NYCSM,22660363,IP,ARC,P,A
CENTRAL MASSACHUSETTS TVL,NYCSM,22590201,IP,ARC,P,A
FURST TOURISTIK SERVICE GMBH,FRASM,23218694,IP,BSP,P,A
AMERICAN EXPRESS INTERNATIONAL CO SCHWARZ PHA,FRASM,23210493,IP,BSP,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22755176,IP,ARC,P,A
FORBES TRAVEL SVC,NYCSM,22970555,IP,ARC,P,A
CARLSON WAGONLIT,NYCSM,22522275,IP,ARC,P,A
SCHROEDER REPPELL,FRASM,23214811,IP,BSP,P,A
ACADEMIC TRAVEL,NYCSM,22526361,IP,ARC,P,A
NOVA TRAVEL,NYCSM,22949441,IP,ARC,P,A
COLPITTS TRAVEL CENTER,NYCSM,22602823,IP,ARC,P,A
NASHOBA VLLY TVL AGCY,NYCSM,22778265,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22538563,IP,ARC,P,A
UNIVERSAL TVL SVC,NYCSM,22908104,IP,ARC,P,A
STUTE VERKEHRS GMBH,FRASM,23210095,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22609624,IP,ARC,P,A
REISEBUERO JADE WILHELMSH AVEN,FRASM,23218016,IP,BSP,P,A
ARRINGTON TVL CENTER,NYCSM,22970135,IP,ARC,P,A
REISEBURO STOTER GMBH,FRASM,23210445,IP,BSP,P,A
GIBB TRAVEL,NYCSM,22668332,IP,ARC,P,A
KATLIN TRAVEL GROUP,NYCSM,22505630,IP,ARC,P,A
ATLAS REISEN GMBH,FRASM,23223686,IP,BSP,P,A
TRI TRAVEL,NYCSM,22825320,IP,ARC,P,A
TUTTLE TRAVEL,NYCSM,22973495,IP,ARC,P,A
THE TRAVEL SOURCE,NYCSM,22505980,IP,ARC,P,A
SPINALE TRAVEL,NYCSM,22541304,IP,ARC,P,A
ABR REISEBUERO SENDLINGER MUCHEN,FRASM,23216432,IP,BSP,P,A
W.T.A.,PARSM,20229565,IP,BSP,P,A
REISEBURO BEROLINA,FRASM,23207144,IP,BSP,P,A
CAMPUS TRAVEL SERVICE,NYCSM,20936101,IP,ARC,P,A
TRC TOP REISECLUB GMBH,FRASM,23221310,IP,BSP,P,A
IVR REISEBURO,FRASM,23201393,IP,BSP,P,A
AUSTRALIAN TOURCONSULT GMBH,FRASM,23209535,IP,BSP,P,A
GARBERS TVL SVC,NYCSM,22526556,IP,ARC,P,A
CRIMSON TRAVEL SERVICE,NYCSM,22553694,IP,ARC,P,A
FIRST REISEBUERO BERATEN & REISEN,FRASM,23206853,IP,BSP,P,A
SCITUATE HARBOR TVL,NYCSM,22733734,IP,ARC,P,A
MICHEL,PARSM,20228644,IP,BSP,P,A
HEWINS CWT,NYCSM,20519892,IP,ARC,P,A
OUEST,PARSM,20210606,IP,BSP,P,A
GARBER TRAVEL,NYCSM,22597794,IP,ARC,P,A
CARLSON WAGONLIT TRAVEL,NYCSM,22599021,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,20978101,IP,ARC,P,A
PATHWAYS TRAVEL,NYCSM,22544620,IP,ARC,P,A
LOTUS TVL SVCS,NYCSM,22786562,IP,ARC,P,A
COUNTRY VILLAGE TVL,NYCSM,22940890,IP,ARC,P,A
THOMAS COOK TRAVEL,NYCSM,22738085,IP,ARC,P,A
ALLEN TVL & TR,NYCSM,22679322,IP,ARC,P,A
TRAVEL HOUSE TOURS,NYCSM,22885752,IP,ARC,P,A
ANDERES REISEN GMBH ROLAND KRIESCHE,FRASM,23221063,IP,BSP,P,A
CWL ACTA,PARSM,20203466,IP,BSP,P,A
MONTS JURA,PARSM,20253376,IP,BSP,P,A
AAA MERRIMACK VALLEY,NYCSM,22599441,IP,ARC,P,A
AMEX TCOOK WESTBORD,NYCSM,22977894,IP,ARC,P,A
WOLFE TRAVEL,NYCSM,22940094,IP,ARC,P,A
CWL PROTRAVEL,PARSM,20245606,IP,BSP,P,A
WASTEELS,PARSM,20215834,IP,BSP,P,A
RETTMEYER UND HESSENMUELLER,FRASM,23215253,IP,BSP,P,A
ELTIV TRAVEL AT XYPLEX,NYCSM,22582766,IP,ARC,P,A
THE ESCAPE ARTIST,NYCSM,22522102,IP,ARC,P,A
NEUSTADT DE,FRASM,23216756,IP,BSP,P,A
REISEBURO KRONSHAGEN GMBH,FRASM,23219125,IP,BSP,P,A
HAPAG LLOYD REISEBURO GMBH,FRASM,23224876,IP,BSP,P,A
LIBERTY TRAVEL,NYCSM,22548761,IP,ARC,P,A
GARBERS TRAVEL SVC,NYCSM,22973333,IP,ARC,P,A
MERICAN REISEN GESCHAFTSLEITUNG,FRASM,23222150,IP,BSP,P,A
CARLSON WAGONLIT TRAVEL,NYCSM,22547184,IP,ARC,P,A
REISEBURO B R U N E GMBH,FRASM,23206750,IP,BSP,P,A
TITANIC REISEN GMBH,FRASM,23219733,IP,BSP,P,A
WASTEELS,PARSM,20291132,IP,BSP,P,A
CAP CHINE,PARSM,20252562,IP,BSP,P,A
CHARLOTTE,PARSM,20238422,IP,BSP,P,A
QST STREAM INTERN,NYCSM,22604492,IP,ARC,P,A
REISEBUERO IM FLUGHAFEN,FRASM,23209351,IP,BSP,P,A
KFBREISE GMBH,FRASM,23216723,IP,BSP,P,A
REISEBURO AUTO FISCHER GMBH & KG,FRASM,23209034,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22811983,IP,ARC,P,A
MISR TRAVEL,FRASM,23223944,IP,BSP,P,A
PEPP TRAVEL,NYCSM,22970253,IP,ARC,P,A
K TRAVEL REISEBURO GMBH,FRASM,23206256,IP,BSP,P,A
REISEBURO EHRET,FRASM,23207063,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22630473,IP,ARC,P,A
E.LECLERC VOYAGES CDA,PARSM,20226780,IP,BSP,P,A
CWL FERMEE,PARSM,20236204,IP,BSP,P,A
DUXBURY TVL SVC,NYCSM,22633785,IP,ARC,P,A
LESAGE,PARSM,20228655,IP,BSP,P,A
ROSENBLUTH TVL AGENCY,NYCSM,22978723,IP,ARC,P,A
REISEBURO DIX OMNIBUSBETRIEB GMBH,FRASM,23202351,IP,BSP,P,A
CWL,PARSM,20207806,IP,BSP,P,A
FRNCISCO OLIVEIRA TVL AY,NYCSM,22789465,IP,ARC,P,A
TRAVEL EMPORIUM,NYCSM,22545073,IP,ARC,P,A
AMERICAN INTL TRAVEL,NYCSM,22695061,IP,ARC,P,A
REISEBUERO STICHT,FRASM,23220536,IP,BSP,P,A
REISEBURO HELIOS GMBH,FRASM,23214273,IP,BSP,P,A
GOGO TOURS,NYCSM,22672694,IP,ARC,P,A
REISEBURO ROMINGER GMBH,FRASM,23200096,IP,BSP,P,A
ATLAS REISEN GMBH,FRASM,23204355,IP,BSP,P,A
AMERICAN INTERNATIONAL,NYCSM,20859090,IP,ARC,P,A
ATLAS REISEN GMBH,FRASM,23217832,IP,BSP,P,A
GARBERS TRAVEL SERVICE IN,NYCSM,22503283,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22590805,IP,ARC,P,A
QDAT,NYCSM,22970673,IP,ARC,P,A
TOURAINE TVL SVC,NYCSM,22877046,IP,ARC,P,A
ALL ABOUT TRAVEL,NYCSM,20525050,IP,ARC,P,A
CITY AIR TERMINAL,FRASM,23210924,IP,BSP,P,A
VISTA TRAVEL,NYCSM,22975131,IP,ARC,P,A
CANUSA TOURISTIK GESCHAFTSLEITUNG,FRASM,23222345,IP,BSP,P,A
BOBY EXPRESS INTL,NYCSM,22971616,IP,ARC,P,A
MENZELL REISEBUERO,FRASM,23208931,IP,BSP,P,A
NEJAIMES VIP TRAVEL,NYCSM,22756274,IP,ARC,P,A
HILA REISEN GMBH,FRASM,23224224,IP,BSP,P,A
IHR REISEBURO GMBH,FRASM,23207726,IP,BSP,P,A
BURGELER REISEBURO I. HS. VOLKSBANK,FRASM,23223082,IP,BSP,P,A
WELLESLEY CROSSING TVL,NYCSM,22875156,IP,ARC,P,A
UNKNOWN,PARSM,20209254,IP,BSP,P,A
RICHOU,PARSM,20250274,IP,BSP,P,A
CWT DUBE CRUISE & TVL CNT,NYCSM,20632043,IP,ARC,P,A
CWL FRANTOUR,PARSM,20226043,IP,BSP,P,A
AMEXONE,NYCSM,22549015,IP,ARC,P,A
WORLDTRAVEL PARTNERS,NYCSM,22979003,IP,ARC,P,A
REISEBURO PAPENDICK,FRASM,23200774,IP,BSP,P,A
ANDERNACHER REISEBUERO,FRASM,23200645,IP,BSP,P,A
REISEBURO TESKE & SCHANZ GMBH,FRASM,23218300,IP,BSP,P,A
APPLEBY & WYMAN TVL AGY,NYCSM,22537200,IP,ARC,P,A
GARBERS TVL SVC,NYCSM,22979390,IP,ARC,P,A
REISECENTER BECKER,FRASM,23204775,IP,BSP,P,A
RYAN S TRAVEL SERVICE,NYCSM,22836903,IP,ARC,P,A
REISEBURO ATLANTIK,FRASM,23222194,IP,BSP,P,A
UNIGLOBE VALLEY TVL,NYCSM,22591402,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22903786,IP,ARC,P,A
REISEBURO WANDT,FRASM,23202793,IP,BSP,P,A
THCO,PARSM,20224783,IP,BSP,P,A
YANKEE TOUR & TRAVEL,NYCSM,20546153,IP,ARC,P,A
VAL'TOUR,PARSM,20201311,IP,BSP,P,A
UNIGLOBE EVERGREEN TRAVEL,NYCSM,20617391,IP,ARC,P,A
KINTETSU WORLD EXPRESS,PARSM,20470893111,IC,CASS,G,A
VIVA TRAVEL,NYCSM,22707580,IP,ARC,P,A
HOLIDAY TVL AGCY FALL RIV,NYCSM,22694932,IP,ARC,P,A
HELCO REISE GMBH ALLIANZ PASSAGE,FRASM,23210084,IP,BSP,P,A
EXPRESS TRAVEL,NYCSM,22947514,IP,ARC,P,A
AUGSBURG,FRASM,23212324,IP,BSP,P,A
JETSET TOURS DEUTSCHLAND GMBH GESCHAFTSLEITUNG,FRASM,23221693,IP,BSP,P,A
ALLTOURS FLUGREISEN GMBH REISECENTER ALLTOURS,FRASM,23206816,IP,BSP,P,A
ATLAS REISEN GMBH GESCHAFTSLEITUNG,FRASM,23222404,IP,BSP,P,A
ALLGAEUER REISEBUERO,FRASM,23216255,IP,BSP,P,A
THCO,PARSM,20241583,IP,BSP,P,A
DAYS TRAVEL BUREAU,NYCSM,20691333,IP,ARC,P,A
REISEBUERO KNIPPER KIMMEL,FRASM,23207041,IP,BSP,P,A
LIGHTBRIDGE,NYCSM,22964292,IP,ARC,P,A
AMERICAN LLOYD FRANCE V,FRASM,23212512,IP,BSP,P,A
CROSSROADS TRAVEL,NYCSM,22599625,IP,ARC,P,A
AMTLICHES BAYERISCHES REISEBURO,FRASM,23205652,IP,BSP,P,A
AAA TRAVEL CENTER,NYCSM,20938061,IP,ARC,P,A
ATRIUM TRAVEL,NYCSM,22695702,IP,ARC,P,A
KARSTADT REISEBURO,FRASM,23215312,IP,BSP,P,A
ATLAS REISEN GMBH,FRASM,23218252,IP,BSP,P,A
ANGORA TRAVEL,NYCSM,22967954,IP,ARC,P,A
REISEBURO WIMKE,FRASM,23202163,IP,BSP,P,A
MULLER PARTNER GMBH GESCHAFTSLEITUNG,FRASM,23221446,IP,BSP,P,A
REISEBURO SCHRADER GMBH,FRASM,23223255,IP,BSP,P,A
VERNEY,PARSM,20296253,IP,BSP,P,A
REISEBURO BRITTA ZIEGLER,FRASM,23220643,IP,BSP,P,A
AMEX,PARSM,20289636,IP,BSP,P,A
REISEBURO BINDER,FRASM,23202480,IP,BSP,P,A
TVLWISE CRUISES & TOURS,NYCSM,20529143,IP,ARC,P,A
REISEBURO TITZE GMBH,FRASM,23214052,IP,BSP,P,A
KREUZAUER REISEBURO GMBH,FRASM,23209443,IP,BSP,P,A
LANGUEDOC ROUSSILLON VOYA,PARSM,20213594,IP,BSP,P,A
REISEBURO AM ECK,FRASM,23224305,IP,BSP,P,A
REISEBUERO JONEN,FRASM,23213853,IP,BSP,P,A
REISEAGENTUR PETER A. BRATHER,FRASM,23204075,IP,BSP,P,A
CALL AND FLY,FRASM,23225893,IP,BSP,P,A
GO REISEN BURMEISTER ACHIM,FRASM,23201275,IP,BSP,P,A
REISEBUERO BARTHOLOMAE WIESBADEN,FRASM,23217950,IP,BSP,P,A
BTI AMERICAS,NYCSM,22960383,IP,ARC,P,A
CRIMSON TRAVEL SERVICE,NYCSM,22521413,IP,ARC,P,A
TUI URLAUB CENTER,FRASM,23210563,IP,BSP,P,A
INTL TRAVEL PLANNERS,NYCSM,22782535,IP,ARC,P,A
USTS SPOKANE TRAVEL,NYCSM,22972725,IP,ARC,P,A
REISEBURO KOCH,FRASM,23225333,IP,BSP,P,A
DAYS TRAVEL BUREAU,NYCSM,20737264,IP,ARC,P,A
LECLERC,PARSM,20231761,IP,BSP,P,A
CARLSON WAGONLIT,PARSM,20219846,IP,BSP,P,A
REISEAGENTUR MERIDIAN INH. KERSTIN WILLERS,FRASM,23221262,IP,BSP,P,A
SCHENKER RHENUS REISEN,FRASM,23207936,IP,BSP,P,A
KIOS WEST REISEBURO GMBH,FRASM,23202782,IP,BSP,P,A
HINGHAM DUFFY BYRNE TVL,NYCSM,22693226,IP,ARC,P,A
REISEBUERO KOEMMERLING,FRASM,23217095,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22970113,IP,ARC,P,A
LIGNES 36RUE BRUNEL PARIS FRANCE,PARSM,20200762,IP,BSP,P,A
POLONIA,PARSM,20218704,IP,BSP,P,A
NEW HORIZONS TVL SVC,NYCSM,22781010,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22548772,IP,ARC,P,A
INTEROT REISEDIENST GMBH,FRASM,23224644,IP,BSP,P,A
TRIPP EXPLORER,NYCSM,22805646,IP,ARC,P,A
KNIPPER REISEBUERO,FRASM,23202712,IP,BSP,P,A
LEBACHER REISEBURO IVEN & WEILER,FRASM,23209270,IP,BSP,P,A
GARBERS TRAVEL SVCS,NYCSM,22968621,IP,ARC,P,A
AMERICAN EXPRESS INT. CO AAFES EUROPE REG,FRASM,23221240,IP,BSP,P,A
WORLDTRAVEL PARTNERS,NYCSM,22694626,IP,ARC,P,A
HAPAG LLOYD REISEBURO GMBH GESCHAFTSLEITUNG,FRASM,23222264,IP,BSP,P,A
AFAT VOYAGES,PARSM,20247172,IP,BSP,P,A
ILE MAURICE VOYAGES SARL,PARSM,20253682,IP,BSP,P,A
REISEBUERO WIRTS GMBH,FRASM,23216336,IP,BSP,P,A
REISEBURO DR. TIGGES GMBH &,FRASM,23219965,IP,BSP,P,A
REISEBURO STURMER GMBH,FRASM,23222183,IP,BSP,P,A
GILDE REISEBURO,FRASM,23201006,IP,BSP,P,A
BCD TRAVEL,NYCSM,22517272,IP,ARC,P,A
COLOGNE,FRASM,23213466,IP,BSP,P,A
OMEGA TRAVEL,NYCSM,22631162,IP,ARC,P,A
TUI URLAUBCENTER,FRASM,23218580,IP,BSP,P,A
FERNREISEN,FRASM,23207166,IP,BSP,P,A
REISEBURO DR. TIGGES GMBH & KG,FRASM,23223863,IP,BSP,P,A
THE TRAVELER,NYCSM,22727972,IP,ARC,P,A
LA FRANCAISE DE MOTIVATION,PARSM,20222300,IP,BSP,P,A
SOCAR,PARSM,20261931,IP,BSP,P,A
CWL,PARSM,20246586,IP,BSP,P,A
THCO VOY,PARSM,20210665,IP,BSP,P,A
AMERICAN EXPRESS,NYCSM,22970776,IP,ARC,P,A
REISEBURO HORTEN GMBH,FRASM,23209815,IP,BSP,P,A
FRIEDRICH GROSS REISEBURO,FRASM,23207354,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22825832,IP,ARC,P,A
VILA VITA TOURISTIK GMBH,FRASM,23214240,IP,BSP,P,A
GARBERS TVL SVC,NYCSM,22971550,IP,ARC,P,A
DONAU REISEBURO DIESCH GMBH,FRASM,23201135,IP,BSP,P,A
SCHWARZER REISE UND VERKEHRSBURO GMBH,FRASM,23208054,IP,BSP,P,A
REISEBURO STEINBERG,FRASM,23207903,IP,BSP,P,A
FERRED TLV WALTHAM MA,NYCSM,22972504,IP,ARC,P,A
REISEBURO AM DOMHOF GABTA REISEN GMBH,FRASM,23221424,IP,BSP,P,A
GIRARDOT,PARSM,20207832,IP,BSP,P,A
PLACE,PARSM,20286346,IP,BSP,P,A
ABSOLUTE TRAVEL,NYCSM,22522290,IP,ARC,P,A
PANOPA REISEBURO GMBH CO KRUPP INDUSTRIE,FRASM,23220503,IP,BSP,P,A
MATHWORKS,NYCSM,22960615,IP,ARC,P,A
PLANQUADRAT REISEBERATUNG GMBH,FRASM,23213945,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22973532,IP,ARC,P,A
REISEWELT,FRASM,23225672,IP,BSP,P,A
REISEBURO HEMPEL,FRASM,23203364,IP,BSP,P,A
AMERICAN EXPRESS INTERNATIONAL,FRASM,23202270,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22549122,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22615530,IP,ARC,P,A
VACATION OUTLET METHUEN,NYCSM,22884794,IP,ARC,P,A
GABRIELE TRAVEL,NYCSM,22665182,IP,ARC,P,A
REISEBURO JAGER GMBH,FRASM,23213816,IP,BSP,P,A
YOUNGS TRAVEL SERVICE,NYCSM,22948774,IP,ARC,P,A
E.T.S ELB TRVL SVC,FRASM,23206982,IP,BSP,P,A
MESNIL VOYAGES SARL,PARSM,20254360,IP,BSP,P,A
HAPAG LLOYD,FRASM,23213691,IP,BSP,P,A
REISEBURO HORTEN GMBH VERKAUFSBURO LEIPZIG,FRASM,23221516,IP,BSP,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22728204,IP,ARC,P,A
THOMAS COOK TRAVEL,NYCSM,22691292,IP,ARC,P,A
SWAINS TRAVEL,NYCSM,22865371,IP,ARC,P,A
WORLD TRAVEL,NYCSM,20661115,IP,ARC,P,A
ROSENBLUTH INTL S MARLBOROUGM,NYCSM,22525440,IP,ARC,P,A
PRS PRO REISE SERVICE GMBH,FRASM,23221822,IP,BSP,P,A
ADVENTURE TRAVEL,NYCSM,22505700,IP,ARC,P,A
WORLD WIDE TRAVEL,NYCSM,20584362,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22507774,IP,ARC,P,A
COULEUR,PARSM,20235316,IP,BSP,P,A
CRIMSON TRAVEL SVC,NYCSM,20722656,IP,ARC,P,A
ROSENBLUTH TVL AGCY,NYCSM,22970345,IP,ARC,P,A
CONTI REISEN GMBH,FRASM,23213923,IP,BSP,P,A
AMEX REVERE TVL,NYCSM,22979515,IP,ARC,P,A
KARSTADT REISEBURO,FRASM,23207321,IP,BSP,P,A
REISEWELT,FRASM,23225661,IP,BSP,P,A
AQUARIUS TVL MANAGEMENT,NYCSM,22979283,IP,ARC,P,A
PRS DELUXE TRAVEL,NYCSM,22637602,IP,ARC,P,A
PAUL FLATLEY TVL AGCY,NYCSM,22801240,IP,ARC,P,A
GARBERS TVL SVC,NYCSM,22784882,IP,ARC,P,A
THOMAS COOK TRAVEL,NYCSM,22690776,IP,ARC,P,A
REISEBURO BRUNE GMBH CO HITACHI EUROPE G,FRASM,23217294,IP,BSP,P,A
FOX TRAVEL,NYCSM,22535763,IP,ARC,P,A
DER REISELADEN GMBH,FRASM,23206702,IP,BSP,P,A
WORLDTRAVEL PARTNERS,NYCSM,22543813,IP,ARC,P,A
REISEBUERO,FRASM,23213212,IP,BSP,P,A
VOLKSBANK REISEBURO,FRASM,23210331,IP,BSP,P,A
MESSE REISEN FALK GMBH,FRASM,23203574,IP,BSP,P,A
SUNSET TRAVEL,NYCSM,20973805,IP,ARC,P,A
CSV MORGENSTEIN REISEN GMBH,FRASM,23203456,IP,BSP,P,A
FIRST BUSINESS TRAVEL ATLANTIK LUFT REEDER,FRASM,23206492,IP,BSP,P,A
AMERICAN EXPRESS INTERNATIONALCO BRISTOL MYERS SQ,FRASM,23214866,IP,BSP,P,A
UNIVERSITY TRAVEL,NYCSM,22916482,IP,ARC,P,A
THE TRAVEL CENTER,NYCSM,22595510,IP,ARC,P,A
BEST VALUE TRAVEL,NYCSM,22515872,IP,ARC,P,A
HAPAG LLOYD REISEBURO GMBH SUDWEST PRESSE,FRASM,23219512,IP,BSP,P,A
TRAVEL CONNECTIONS,NYCSM,22506621,IP,ARC,P,A
SASPO TOURISTIK GMBH,FRASM,23214586,IP,BSP,P,A
ROSENBLUTH INTERNATIONAL,LAXSM,17509984,IP,ARC,P,A
AAA TRAVEL AGENCY,NYCSM,22529651,IP,ARC,P,A
THCO,PARSM,20209722,IP,BSP,P,A
EUROPE GSA INCENTIVE AGT,PARSM,19227880,IP,BSP,P,A
FIRST EXPRESS INTERNATIONAL,TAESM,17315010031,IC,CASS,G,A
MODERNAGE TRAVEL,NYCSM,22770005,IP,ARC,P,A
WORLD WIDE EXECUTIVE TVL,NYCSM,22605925,IP,ARC,P,A
HAPAG LLOYD REISEBURO GMBH,FRASM,23208301,IP,BSP,P,A
MACKENZIE TRAVEL,NYCSM,22658263,IP,ARC,P,A
COLPITTS TRAVEL,NYCSM,22602786,IP,ARC,P,A
REISEBURO FRANK METTENDORF GMBH,FRASM,23218624,IP,BSP,P,A
HAPAG LLOYD REISEBURO GMBH CO BLAUPUNKT WERKE,FRASM,23224014,IP,BSP,P,A
BRUNS REISEN GMBH LUFTHANSA CITY CENTE,FRASM,23207715,IP,BSP,P,A
AMERICAN EXPRESS INTERNATIONAL,FRASM,23218860,IP,BSP,P,A
WHB REISEN FIRMENDIENST BEATER,FRASM,23220691,IP,BSP,P,A
REGENCY TRAVEL,NYCSM,22707484,IP,ARC,P,A
TVL AGTS INTL BURLINGTON,NYCSM,22655721,IP,ARC,P,A
COUNTRY TRAVEL,NYCSM,22594434,IP,ARC,P,A
REISEBURO WILL GMBH,FRASM,23206061,IP,BSP,P,A
GLOBETROTTER REISESERVICE GMBH,FRASM,23204985,IP,BSP,P,A
REISEBURO ARZT,FRASM,23224320,IP,BSP,P,A
QUINWELL TVL SVC,NYCSM,22780704,IP,ARC,P,A
ALL SEASONS TVL SVC,NYCSM,22522706,IP,ARC,P,A
LIDO TRAVEL,NYCSM,22574322,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22691303,IP,ARC,P,A
DUFFY BYRNE TRAVEL,NYCSM,22632455,IP,ARC,P,A
CARLSON WAGONLIT TRAVEL,NYCSM,22560834,IP,ARC,P,A
CLUB VOYAGES,PARSM,20254916,IP,BSP,P,A
TONON WORLD TRAVEL,NYCSM,22876103,IP,ARC,P,A
AQUARIUS TVL MANAGEMENT,NYCSM,22976811,IP,ARC,P,A
THOMAS COOK TRAVEL,NYCSM,22690861,IP,ARC,P,A
ATLANTIS TRAVEL CTR,NYCSM,22836181,IP,ARC,P,A
HAVAS,PARSM,20282312,IP,BSP,P,A
REISEBURO BRUNE GMBH CO MC KINSEY &,FRASM,23200004,IP,BSP,P,A
BARBES,PARSM,20216475,IP,BSP,P,A
PRIORITY TRAVEL,NYCSM,22775664,IP,ARC,P,A
HAVAS VOYAGEPL HALLES 5 ISSOIRE 63,PARSM,20233220,IP,BSP,P,A
KONIG REISEDIENST GMBH,FRASM,23214995,IP,BSP,P,A
ODYSSEY TRAVEL,NYCSM,22789071,IP,ARC,P,A
AMERICAN EXPRESS TVL SVCS,NYCSM,22600793,IP,ARC,P,A
AMTLICHES BAYERISCHES REISEBURO,FRASM,23203795,IP,BSP,P,A
DEUTSCHES REISEBURO GMBH IN DER MERTON PASSAG,FRASM,23225425,IP,BSP,P,A
ROSENBLUTH TRAVEL AGCY,NYCSM,22979541,IP,ARC,P,A
TUTTLE TRAVEL SERVICES,NYCSM,22960965,IP,ARC,P,A
AQUITAINE TO84 E GUICHEN PAU 64000,PARSM,20227981,IP,BSP,P,A
MUNDIAL TVL AGCY,NYCSM,22651086,IP,ARC,P,A
AMEX PRIME TRAVEL,NYCSM,22841442,IP,ARC,P,A
KARSTADT REISEBURO,FRASM,23208242,IP,BSP,P,A
EURO LLOYD REISEBUO GMBH,FRASM,23222776,IP,BSP,P,A
PANALPINA TRANSPORTS INTERNATIONAUX,PARSM,20470577610,IC,CASS,G,A
TQ3NAVIGANT,NYCSM,22978130,IP,ARC,P,A
VILLEURBANNE,PARSM,20221935,IP,BSP,P,A
TRAVELBOOKS,NYCSM,22979655,IP,ARC,P,A
REISEBURO KAHN GMBH,FRASM,23209012,IP,BSP,P,A
HAPPY TOURS,FRASM,23222942,IP,BSP,P,A
NESHER TRAVEL,NYCSM,22618201,IP,ARC,P,A
ASK MR FOSTER TVL SVC,NYCSM,22972876,IP,ARC,P,A
ATHOS VOYAGES,PARSM,20230711,IP,BSP,P,A
FIVE STAR TRAVEL,LAXSM,17581981,IP,ARC,P,A
REISEBUERO GMBH DUESSELDOLF DE,FRASM,23213842,IP,BSP,P,A
FLUGREISEN WELLHOEFER GMBH,FRASM,23207973,IP,BSP,P,A
ULLSTEIN REISEBURO,FRASM,23225381,IP,BSP,P,A
REISEBURO LEO DEIGNER,FRASM,23217456,IP,BSP,P,A
NAVIGANT INTEGRATED SVC,NYCSM,22966145,IP,ARC,P,A
GETAWAY TRAVEL,NYCSM,22635480,IP,ARC,P,A
REISEBURO ROMINGER GMBH GESCHAFTSLEITUNG,FRASM,23221870,IP,BSP,P,A
BENNETT & THERESA,NYCSM,22970765,IP,ARC,P,A
REISEBURO ROMINGER GMBH,FRASM,23203305,IP,BSP,P,A
GREMMENDORFER REISEBURO DOWEY CLEPHAS OHG,FRASM,23210666,IP,BSP,P,A
TRAVELOG INTL,NYCSM,20895825,IP,ARC,P,A
KIRSCHNER REISEN GMBH,FRASM,23216292,IP,BSP,P,A
BEDFORD TRAVEL,NYCSM,22557636,IP,ARC,P,A
HAPAG LLOYD REISEBUERO GMBH,FRASM,23208463,IP,BSP,P,A
REGENCY TRAVEL UNLIMITED,NYCSM,22612435,IP,ARC,P,A
VOLKSBANK REISEN,FRASM,23218204,IP,BSP,P,A
REISEBURO ROMINGER GMBH,FRASM,23214973,IP,BSP,P,A
AMEXONE,NYCSM,22827464,IP,ARC,P,A
